기간,미국,유럽연합,중국,일본,베트남
2019-01,4040,3392,2198,1821,2340
2019-02,3762,3585,2256,1733,2247
2019-03,3848,3513,2325,1794,2244
2019-04,3690,3295,2221,1820,2392
2019-05,3977,3448,2140,1933,2334
2019-06,4100,3612,2169,1985,2342
2019-07,4185,3795,2253,1959,2250
2019-08,4039,3529,2374,2063,2511
2019-09,4009,4169,2226,1879,2516
2019-10,4175,4102,2233,1847,2959
2019-11,3950,3642,2264,1861,2752
2019-12,4015,4056,2209,1876,2807
2020-01,4268,3635,2214,1777,2524
2020-02,3828,3856,2068,1860,2671
2020-03,3963,4126,3428,1981,3897
2020-04,4267,5103,4440,1932,3362
2020-05,3955,5198,4125,1757,2930
2020-06,4091,4814,3372,1613,3006
2020-07,4098,4455,3252,1557,3132
2020-08,4030,5241,2918,1642,3596
2020-09,4252,4824,3058,1617,4119
2020-10,3799,4928,3295,1578,3937
2020-11,3772,4761,3504,1529,3596
2020-12,3484,4885,3685,1545,3556
2021-01,3314,4904,3587,1560,2658
2021-02,3106,4725,3865,1602,2868
2021-03,3162,4982,3488,1627,3653
2021-04,3203,4888,3498,1713,3237
2021-05,2759,5179,3665,1769,3023
2021-06,2632,5229,3142,1820,3192
2021-07,2965,5007,3344,1883,2946
2021-08,2507,4919,3462,1975,3252
2021-09,2702,5052,4471,2031,4549
2021-10,4381,5394,4705,2110,6079
2021-11,4134,5726,4957,2119,6785
2021-12,4084,5170,4661,2325,5075
2022-01,4090,5407,4860,2112,4862
2022-02,4070,5851,4809,2138,4451
2022-03,4270,6162,5179,2219,4757
2022-04,4658,6833,5101,2243,5463
2022-05,4971,6414,5863,2407,5120
2022-06,5154,7206,5291,2438,4927
2022-07,5852,6521,4896,2515,5275
2022-08,6033,6696,4931,2722,5084
2022-09,5935,7124,4659,2545,5980
2022-10,5757,7143,4540,2459,6372
2022-11,5892,6849,4192,2461,4826
2022-12,5823,6919,3930,2455,4092
2023-01,5484,6273,3840,2317,2958
2023-02,6249,5682,3937,2288,2892
2023-03,5612,6267,3921,2313,3569
2023-04,5617,6926,3837,2302,3711
2023-05,6202,6189,3995,2215,3943
2023-06,5569,5519,3767,2077,3701
2023-07,5100,5334,3552,1956,3740
2023-08,5976,5866,3545,2214,3947
2023-09,5235,5404,3368,1946,4485
2023-10,5609,5040,3402,2055,4753
2023-11,5689,5014,3708,2014,4386
2023-12,6395,5702,3474,2098,4402
2024-01,5771,4428,3515,1956,3920
2024-02,5398,5591,3527,1934,3888
2024-03,5386,5709,3562,1974,3838
2024-04,5396,5317,3762,1951,3927
2024-05,5207,4722,3376,1830,4374
2024-06,5655,4786,3546,1962,4045
