기간,국가,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
총계,,,,97406831.9,333419568,277127981.6,311550873,21868695
2024,가나,3.0,어류ㆍ갑각류ㆍ연체동물과 그 밖의 수생(水生) 무척추동물,4888.3,5103,0.0,0,5103
2024,가나,7.0,식용의 채소ㆍ뿌리ㆍ괴경(塊莖),0.0,0,5.9,5,-5
2024,가나,11.0,"제분공업의 생산품과 맥아, 전분, 이눌린(inulin), 밀의 글루텐(gluten)",0.5,3,1.3,1,2
2024,가나,12.0,"채유(採油)에 적합한 종자와 과실, 각종 종자와 과실, 공업용ㆍ의약용 식물, 짚과 사료용 식물",0.0,1,0.1,0,1
2024,가나,15.0,"동물성ㆍ식물성ㆍ미생물성 지방과 기름 및이들의 분해생산물, 조제한 식용 지방과 동물성ㆍ식물성 왁스",0.1,0,14.1,57,-57
2024,가나,16.0,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나 그 밖의 수생(水生) 무척추동물 또는 곤충의 조제품,1.2,5,0.0,0,5
2024,가나,17.0,당류(糖類)와 설탕과자,2.2,96,0.0,0,96
2024,가나,18.0,코코아와 그 조제품,0.0,0,2006.8,11956,-11956
2024,가나,19.0,곡물ㆍ고운 가루ㆍ전분ㆍ밀크의 조제품과 베이커리 제품,39.9,211,0.0,0,211
2024,가나,20.0,채소ㆍ과실ㆍ견과류나 식물의그 밖의 부분의 조제품,11.7,113,0.6,1,113
2024,가나,21.0,각종 조제 식료품,16.5,512,0.7,1,511
2024,가나,22.0,음료ㆍ주류ㆍ식초,108.7,115,0.0,0,115
2024,가나,23.0,"식품 공업에서 생기는 잔재물과 웨이스트(waste), 조제 사료",18.0,17,0.0,0,17
2024,가나,24.0,"담배와 제조한 담배 대용물, 연소시키지 않고흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것",57.3,281,0.0,0,281
2024,가나,25.0,"소금, 황, 토석류(土石類), 석고ㆍ석회ㆍ시멘트",636.0,82,0.0,0,82
2024,가나,27.0,"광물성 연료ㆍ광물유(鑛物油)와 이들의 증류물, 역청(瀝靑)물질, 광물성 왁스",782.6,778,0.0,0,778
2024,가나,28.0,"무기화학품, 귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의 유기화합물이나 무기화합물",4983.5,7833,0.0,0,7833
2024,가나,29.0,유기화학품,696.5,894,0.0,0,894
2024,가나,30.0,의료용품,7.5,413,0.0,0,413
2024,가나,32.0,"유연용ㆍ염색용 추출물(extract), 탄닌과 이들의 유도체, 염료ㆍ안료와 그 밖의 착색제, 페인트ㆍ바니시(varnish), 퍼티(putty)와 그 밖의 매스틱(mastic), 잉크",215.1,506,0.0,0,506
2024,가나,33.0,"정유(essential oil)와 레지노이드(resinoid), 조제향료와 화장품ㆍ화장용품",2.4,100,0.0,1,99
2024,가나,34.0,비누ㆍ유기계면활성제ㆍ조제 세제ㆍ조제 윤활제ㆍ인조 왁스ㆍ조제 왁스ㆍ광택용이나 연마용 조제품ㆍ양초와 이와 유사한 물품ㆍ조형용 페이스트(paste)ㆍ치과용 왁스와 플라스터(plaster)를 기본 재료로 한 치과용 조제품,186.9,227,0.0,0,227
2024,가나,35.0,"단백질계 물질, 변성전분, 글루(glue), 효소",7.1,133,0.0,0,133
2024,가나,38.0,각종 화학공업 생산품,8.7,658,0.0,0,658
2024,가나,39.0,플라스틱과 그 제품,25373.9,28434,0.0,0,28434
2024,가나,40.0,고무와 그 제품,399.9,300,0.0,0,300
2024,가나,42.0,"가죽제품, 마구, 여행용구ㆍ핸드백과 이와 유사한 용기, 동물 거트(gut)[누에의 거트(gut)는 제외한다]의 제품",212.0,488,0.0,1,487
2024,가나,44.0,"목재와 그 제품, 목탄",0.0,0,13.5,19,-19
2024,가나,46.0,"짚ㆍ에스파르토(esparto)나 그 밖의 조물 재료의 제품, 바구니 세공물(basketware)과 지조세공물(枝條細工物)",0.0,0,0.8,19,-19
2024,가나,47.0,"목재나 그 밖의 섬유질 셀룰로오스재료의 펄프, 회수한 종이ㆍ판지[웨이스트(waste)와 스크랩(scrap)]",80.4,34,0.0,0,34
2024,가나,48.0,"종이와 판지, 제지용 펄프ㆍ종이ㆍ판지의 제품",1031.8,613,0.0,0,613
2024,가나,49.0,"인쇄서적ㆍ신문ㆍ회화ㆍ그 밖의 인쇄물, 수제(手製)문서ㆍ타자문서ㆍ도면",90.6,542,0.0,0,542
2024,가나,52.0,면,72.0,84,0.0,0,84
2024,가나,54.0,"인조필라멘트, 인조방직용 섬유재료의 스트립(strip)과 이와 유사한 것",13.7,25,0.0,0,25
2024,가나,56.0,"워딩(wadding)ㆍ펠트(felt)ㆍ부직포, 특수사, 끈ㆍ배의 밧줄(cordage)ㆍ로프ㆍ케이블과 이들의 제품",1310.7,2878,0.0,0,2878
2024,가나,57.0,양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개,0.6,0,0.0,0,0
2024,가나,58.0,"특수직물, 터프트(tuft)한 직물, 레이스, 태피스트리(tapestry), 트리밍(trimming), 자수천",0.0,1,0.0,0,1
