기간,미국서부,미국동부,유럽연합,중국,일본,베트남
2019-01,2065,1830,1136,712,769,423
2019-02,1636,1850,1164,690,762,427
2019-03,1692,1491,1142,680,892,429
2019-04,1758,1815,1369,662,797,441
2019-05,2552,1620,1429,692,901,404
2019-06,1754,1810,1467,691,832,394
2019-07,1762,1695,1251,630,827,419
2019-08,1721,1769,1238,692,894,438
2019-09,1548,1587,1359,815,837,456
2019-10,1904,1705,1250,747,890,396
2019-11,1623,1697,1249,670,835,404
2019-12,1909,1665,1189,708,771,488
2020-01,1644,1783,1265,718,905,552
2020-02,2098,1992,1152,640,1014,455
2020-03,2547,1779,1165,767,1111,525
2020-04,2235,1994,1082,767,964,512
2020-05,2407,1767,1442,745,975,535
2020-06,1928,1714,1478,715,1035,525
2020-07,2201,1759,1468,735,798,504
2020-08,2480,1835,1427,689,769,489
2020-09,2039,1672,1515,745,712,551
2020-10,2255,1640,1394,709,992,510
2020-11,1968,1563,1336,743,751,472
2020-12,2106,1392,1488,1187,757,656
2021-01,1886,1308,1507,1843,996,1105
2021-02,2045,1406,1609,2167,814,1512
2021-03,2106,1601,1954,1937,936,1416
2021-04,2317,1547,2143,1938,965,1584
2021-05,2548,1612,2201,1994,885,1548
2021-06,2324,1700,2155,2041,1057,1788
2021-07,2663,1762,2307,2093,1017,1997
2021-08,2554,2066,1962,2192,1252,2109
2021-09,2937,1941,2076,2137,1282,3277
2021-10,2838,2049,1988,2309,1302,3119
2021-11,2747,2332,2068,2337,1459,2801
2021-12,2913,2394,2112,2519,1314,2428
2022-01,3232,2303,2122,2779,1102,2778
2022-02,2620,2333,2332,2910,1136,2876
2022-03,2951,2190,2199,2975,1172,2742
2022-04,3218,2830,2064,2854,1222,2832
2022-05,3324,2740,2235,2917,1304,2983
2022-06,3519,2740,2133,2826,1512,2899
2022-07,3287,3128,2343,2912,1552,3017
2022-08,3832,2540,2200,2755,1505,2980
2022-09,3487,2619,2199,2769,1686,3123
2022-10,3456,2841,2159,2720,1723,3055
2022-11,3536,2777,2233,2440,1668,2697
2022-12,3353,2194,2001,2246,1596,2296
2023-01,2410,2211,1920,1977,1467,1775
2023-02,2976,2214,1947,1819,1413,1430
2023-03,3061,2744,1690,1714,1460,1365
2023-04,2828,2336,1640,1564,1393,1163
2023-05,2746,1934,1425,1409,1469,1102
2023-06,2562,1946,1418,1285,1322,968
2023-07,2645,1819,1502,1097,1220,780
2023-08,2507,2332,1303,995,1300,780
2023-09,2380,2413,1398,940,1277,792
2023-10,2838,2134,1352,954,1205,757
2023-11,2416,2306,1102,1008,1167,596
2023-12,2615,2245,1293,979,1162,611
2024-01,2352,2172,910,969,1116,667
2024-02,2794,1904,1262,945,1100,616
2024-03,2709,1901,1398,1040,1131,605
2024-04,2346,2133,1873,962,1239,660
2024-05,2789,1983,1965,1018,1300,726
2024-06,2819,2361,1753,1090,1189,781
